"Time[s]	",Voltage[V],,
1.12,-0.09,,
1.121,-0.09,,
1.122,-0.1,,
1.123,-0.1,,
1.124,-0.07,,
1.125,0,,
1.126,0.07,,
1.127,0.17,,
1.128,0.17,,
1.129,0.09,,
1.13,0,,
1.131,0,,
1.132,-0.02,,
1.133,0,,
1.134,0.04,,
1.135,0.02,,
1.136,-0.05,,
1.137,-0.07,,
1.138,-0.08,,
1.139,-0.09,,
1.14,-0.1,,
1.141,-0.11,,
1.142,-0.1,,
1.143,-0.11,,
1.144,-0.08,,
1.145,-0.03,,
1.146,0.01,,
1.147,0.05,,
1.148,0.06,,
1.149,0.03,,
1.15,0.06,,
1.151,0.05,,
1.152,0.04,,
1.153,0.02,,
1.154,0,,
1.155,0.01,,
1.156,0,,
1.157,-0.01,,
1.158,-0.04,,
1.159,-0.07,,
1.16,-0.11,,
1.161,-0.12,,
1.162,-0.12,,
1.163,-0.08,,
1.164,-0.05,,
1.165,0,,
1.166,0,,
1.167,0.05,,
1.168,0.11,,
1.169,0.06,,
1.17,0.02,,
1.171,0.01,,
1.172,0.02,,
1.173,0.02,,
1.174,0.05,,
1.175,0,,
1.176,0.03,,
1.177,-0.03,,
1.178,-0.03,,
1.179,-0.06,,
1.18,-0.08,,
1.181,-0.1,,
1.182,-0.13,,
1.183,-0.07,,
1.184,-0.06,,
1.185,-0.03,,
1.186,0.02,,
1.187,0.06,,
1.188,0.08,,
1.189,0.09,,
1.19,0.08,,
1.191,0.07,,
1.192,0.07,,
1.193,0.06,,
1.194,0.05,,
1.195,0.03,,
1.196,0.02,,
1.197,0,,
1.198,-0.01,,
1.199,-0.04,,
1.2,-0.07,,
1.201,-0.1,,
1.202,-0.1,,
1.203,-0.11,,
1.204,-0.11,,
1.205,-0.07,,
1.206,-0.04,,
1.207,0,,
1.208,0.04,,
1.209,0.06,,
1.21,0.06,,
1.211,0.07,,
1.212,0.08,,
1.213,0.08,,
1.214,0.06,,
1.215,0.04,,
1.216,0.05,,
1.217,0.02,,
1.218,-0.01,,
1.219,-0.03,,
1.22,-0.05,,
1.221,-0.07,,
1.222,-0.07,,
1.223,-0.07,,
1.224,-0.07,,
1.225,-0.05,,
1.226,-0.03,,
1.227,0.01,,
1.228,0.03,,
1.229,0.05,,
1.23,0.06,,
1.231,0.07,,
1.232,0.07,,
1.233,0.09,,
1.234,0.07,,
1.235,0.05,,
1.236,0.04,,
1.237,0.02,,
1.238,0.01,,
1.239,-0.02,,
1.24,-0.01,,
1.241,-0.03,,
1.242,-0.07,,
1.243,-0.11,,
1.244,-0.13,,
1.245,-0.09,,
1.246,-0.06,,
1.247,-0.03,,
1.248,0.03,,
1.249,0.02,,
1.25,0.05,,
1.251,0.07,,
1.252,0.08,,
1.253,0.07,,
1.254,0.09,,
1.255,0.07,,
1.256,0.04,,
1.257,0.02,,
1.258,0.02,,
1.259,-0.01,,
1.26,-0.03,,
1.261,-0.06,,
1.262,-0.09,,
1.263,-0.1,,
1.264,-0.11,,
1.265,-0.09,,
1.266,-0.08,,
1.267,-0.05,,
1.268,0,,
1.269,0.02,,
1.27,0.06,,
1.271,0.09,,
1.272,0.05,,
1.273,0.06,,
1.274,0.05,,
1.275,0.06,,
1.276,0.06,,
1.277,0.03,,
1.278,0.04,,
1.279,0,,
1.28,-0.03,,
1.281,-0.06,,
1.282,-0.06,,
1.283,-0.09,,
1.284,-0.08,,
1.285,-0.12,,
1.286,-0.05,,
1.287,-0.03,,
1.288,0,,
1.289,0.02,,
1.29,0.03,,
1.291,0.04,,
1.292,0.04,,
1.293,0.08,,
1.294,0.08,,
1.295,0.07,,
1.296,0.07,,
1.297,0.02,,
1.298,0.01,,
1.299,0,,
1.3,-0.01,,
1.301,-0.03,,
1.302,-0.04,,
1.303,-0.1,,
1.304,-0.11,,
1.305,-0.09,,
1.306,-0.09,,
1.307,-0.05,,
1.308,-0.04,,
1.309,0,,
1.31,0.02,,
1.311,0.05,,
1.312,0.06,,
1.313,0.06,,
1.314,0.09,,
1.315,0.06,,
1.316,0.05,,
1.317,0.03,,
1.318,0.03,,
1.319,0.03,,
1.32,0,,
1.321,-0.02,,
1.322,-0.03,,
1.323,-0.09,,
1.324,-0.11,,
1.325,-0.1,,
1.326,-0.07,,
1.327,-0.07,,
1.328,-0.05,,
1.329,-0.01,,
1.33,0.01,,
1.331,0.06,,
1.332,0.05,,
1.333,0.07,,
1.334,0.07,,
1.335,0.05,,
1.336,0.05,,
1.337,0.05,,
1.338,0.06,,
